Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:46)
Read blend: "/Users/chikumatsuboi/Code/animal-racers-western/assets/source/western/revision2/inputs/lion.blend"
Fra:1 Mem:34.33M (Peak 34.33M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Body • continuous sculpted skin
Fra:1 Mem:36.42M (Peak 36.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered rear mane lock.022
Fra:1 Mem:36.42M (Peak 36.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.005
Fra:1 Mem:36.43M (Peak 36.43M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock
Fra:1 Mem:36.43M (Peak 36.43M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.004
Fra:1 Mem:36.44M (Peak 36.44M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.001
Fra:1 Mem:36.44M (Peak 36.44M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.003
Fra:1 Mem:36.45M (Peak 36.45M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.002
Fra:1 Mem:36.45M (Peak 36.45M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.002
Fra:1 Mem:36.45M (Peak 36.45M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.003
Fra:1 Mem:36.46M (Peak 36.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.001
Fra:1 Mem:36.48M (Peak 36.48M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.004
Fra:1 Mem:36.47M (Peak 36.48M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur
Fra:1 Mem:36.48M (Peak 36.48M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.005
Fra:1 Mem:36.48M (Peak 36.48M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.002
Fra:1 Mem:36.49M (Peak 36.49M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.006
Fra:1 Mem:36.49M (Peak 36.49M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.001
Fra:1 Mem:36.50M (Peak 36.50M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.007
Fra:1 Mem:36.50M (Peak 36.50M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur
Fra:1 Mem:36.51M (Peak 36.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.008
Fra:1 Mem:36.51M (Peak 36.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.050
Fra:1 Mem:36.52M (Peak 36.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.009
Fra:1 Mem:36.52M (Peak 36.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.049
Fra:1 Mem:36.53M (Peak 36.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.010
Fra:1 Mem:36.54M (Peak 36.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.048
Fra:1 Mem:36.54M (Peak 36.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.011
Fra:1 Mem:36.55M (Peak 36.55M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.047
Fra:1 Mem:36.55M (Peak 36.55M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.012
Fra:1 Mem:36.56M (Peak 36.56M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.046
Fra:1 Mem:36.56M (Peak 36.56M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.013
Fra:1 Mem:36.57M (Peak 36.57M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.045
Fra:1 Mem:36.58M (Peak 36.58M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.014
Fra:1 Mem:36.58M (Peak 36.58M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.044
Fra:1 Mem:36.59M (Peak 36.59M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.015
Fra:1 Mem:36.59M (Peak 36.59M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.043
Fra:1 Mem:36.60M (Peak 36.60M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.016
Fra:1 Mem:36.60M (Peak 36.60M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.042
Fra:1 Mem:36.61M (Peak 36.61M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.017
Fra:1 Mem:36.61M (Peak 36.61M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.041
Fra:1 Mem:36.63M (Peak 36.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.018
Fra:1 Mem:36.63M (Peak 36.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.040
Fra:1 Mem:36.65M (Peak 36.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.019
Fra:1 Mem:36.64M (Peak 36.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.039
Fra:1 Mem:36.64M (Peak 36.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.020
Fra:1 Mem:36.65M (Peak 36.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.038
Fra:1 Mem:36.65M (Peak 36.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.021
Fra:1 Mem:36.66M (Peak 36.66M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.037
Fra:1 Mem:36.66M (Peak 36.66M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.022
Fra:1 Mem:36.67M (Peak 36.67M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.036
Fra:1 Mem:36.68M (Peak 36.68M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.023
Fra:1 Mem:36.69M (Peak 36.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.035
Fra:1 Mem:36.69M (Peak 36.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.024
Fra:1 Mem:36.70M (Peak 36.70M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.034
Fra:1 Mem:36.70M (Peak 36.70M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.025
Fra:1 Mem:36.71M (Peak 36.71M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.033
Fra:1 Mem:36.71M (Peak 36.71M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.026
Fra:1 Mem:36.72M (Peak 36.72M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.032
Fra:1 Mem:36.72M (Peak 36.72M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.027
Fra:1 Mem:36.73M (Peak 36.73M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.031
Fra:1 Mem:36.74M (Peak 36.74M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.028
Fra:1 Mem:36.74M (Peak 36.74M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.030
Fra:1 Mem:36.75M (Peak 36.75M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.029
Fra:1 Mem:36.76M (Peak 36.76M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:34.12M (Peak 36.76M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Authored short-fur normal
Fra:1 Mem:28.39M (Peak 36.76M) | Time:00:00.00 | Mem:0.25M, Peak:0.25M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:28.39M (Peak 36.76M) | Time:00:00.00 | Mem:0.25M, Peak:0.25M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:28.39M (Peak 36.76M) | Time:00:00.00 | Mem:0.25M, Peak:0.25M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:28.39M (Peak 36.76M) | Time:00:00.00 | Mem:0.25M, Peak:0.25M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:28.48M (Peak 36.76M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:28.48M (Peak 36.76M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Background
Fra:1 Mem:28.48M (Peak 36.76M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:28.48M (Peak 36.76M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:28.48M (Peak 36.76M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:28.48M (Peak 36.76M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:28.52M (Peak 36.76M) | Time:00:00.00 | Mem:0.30M, Peak:0.30M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:28.52M (Peak 36.76M) | Time:00:00.00 | Mem:0.30M, Peak:0.30M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:28.52M (Peak 36.76M) | Time:00:00.00 | Mem:0.30M, Peak:0.30M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:29.90M (Peak 36.76M) | Time:00:00.01 | Mem:0.30M, Peak:0.30M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:29.90M (Peak 36.76M) | Time:00:00.01 | Mem:0.30M, Peak:0.30M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:31.85M (Peak 36.76M) | Time:00:00.01 | Mem:0.32M, Peak:0.32M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:31.81M (Peak 36.76M) | Time:00:00.01 | Mem:2.21M, Peak:2.21M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:31.82M (Peak 36.76M) | Time:00:00.01 | Mem:2.21M, Peak:2.21M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:31.82M (Peak 36.76M) | Time:00:00.01 | Mem:3.09M, Peak:3.09M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:31.82M (Peak 36.76M) | Time:00:00.01 | Mem:4.04M, Peak:4.92M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:31.82M (Peak 36.76M) | Time:00:00.01 | Mem:4.04M, Peak:4.92M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.04M, Peak:4.92M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.83M, Peak:4.92M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.83M, Peak:4.92M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.83M, Peak:4.92M | Scene, ViewLayer | Updating Images
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.83M, Peak:4.92M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.83M, Peak:4.92M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.91M, Peak:4.92M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.91M, Peak:4.92M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.92M, Peak:4.92M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:32.60M (Peak 36.76M) | Time:00:00.01 | Mem:4.92M, Peak:4.92M | Scene, ViewLayer | Updating Film
Fra:1 Mem:32.61M (Peak 36.76M) | Time:00:00.01 | Mem:4.83M, Peak:4.92M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:32.61M (Peak 36.76M) | Time:00:00.01 | Mem:4.92M, Peak:4.92M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:32.61M (Peak 36.76M) | Time:00:00.01 | Mem:4.92M, Peak:4.92M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:32.61M (Peak 36.76M) | Time:00:00.01 | Mem:4.92M, Peak:4.92M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:32.61M (Peak 36.76M) | Time:00:00.01 | Mem:4.92M, Peak:4.92M | Scene, ViewLayer | Sample 0/20
Fra:1 Mem:51.63M (Peak 51.63M) | Time:00:00.07 | Remaining:00:01.15 | Mem:23.93M, Peak:23.93M | Scene, ViewLayer | Sample 1/20
Fra:1 Mem:59.64M (Peak 71.64M) | Time:00:02.22 | Mem:23.93M, Peak:23.93M | Scene, ViewLayer | Sample 20/20
Fra:1 Mem:59.64M (Peak 71.64M) | Time:00:02.22 | Mem:23.93M, Peak:23.93M | Scene, ViewLayer | Finished
Saved: '/Users/chikumatsuboi/Code/animal-racers-western/assets/source/western/revision2/qa/lion/upright/control-material.png'
Time: 00:02.25 (Saving: 00:00.02)

REVISION2_MATERIAL_PROOF lion upright control
Read blend: "/Users/chikumatsuboi/Code/animal-racers-western/assets/source/western/revision2/candidate/lion-upright.blend"
Fra:1 Mem:31.22M (Peak 31.22M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe
Fra:1 Mem:31.25M (Peak 31.25M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw
Fra:1 Mem:31.25M (Peak 31.25M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.001
Fra:1 Mem:31.27M (Peak 31.27M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.001
Fra:1 Mem:31.27M (Peak 31.27M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.002
Fra:1 Mem:31.30M (Peak 31.30M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.002
Fra:1 Mem:31.30M (Peak 31.30M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.003
Fra:1 Mem:31.32M (Peak 31.32M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.003
Fra:1 Mem:31.32M (Peak 31.32M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.004
Fra:1 Mem:31.34M (Peak 31.34M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.004
Fra:1 Mem:31.35M (Peak 31.35M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.005
Fra:1 Mem:31.37M (Peak 31.37M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.005
Fra:1 Mem:31.37M (Peak 31.37M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.006
Fra:1 Mem:31.39M (Peak 31.39M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.006
Fra:1 Mem:31.40M (Peak 31.40M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.007
Fra:1 Mem:31.42M (Peak 31.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.007
Fra:1 Mem:31.42M (Peak 31.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.008
Fra:1 Mem:31.44M (Peak 31.44M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.008
Fra:1 Mem:31.45M (Peak 31.45M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.009
Fra:1 Mem:31.47M (Peak 31.47M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.009
Fra:1 Mem:31.47M (Peak 31.47M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.010
Fra:1 Mem:31.49M (Peak 31.49M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.010
Fra:1 Mem:31.50M (Peak 31.50M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.011
Fra:1 Mem:31.52M (Peak 31.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.011
Fra:1 Mem:31.52M (Peak 31.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Articulated tail
Fra:1 Mem:31.54M (Peak 31.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Matched softbox.002
Fra:1 Mem:31.55M (Peak 31.55M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leather neckerchief roll
Fra:1 Mem:31.57M (Peak 31.57M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Matched softbox.001
Fra:1 Mem:31.58M (Peak 31.58M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Neckerchief folded point
Fra:1 Mem:31.58M (Peak 31.58M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Matched softbox
Fra:1 Mem:31.58M (Peak 31.58M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 tapered flame tail fur.006
Fra:1 Mem:31.62M (Peak 31.62M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 tapered flame tail fur.005
Fra:1 Mem:31.63M (Peak 31.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Raised elemental crest
Fra:1 Mem:31.64M (Peak 31.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 tapered flame tail fur.004
Fra:1 Mem:31.65M (Peak 31.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upright body • connected joint topology
Fra:1 Mem:31.66M (Peak 31.66M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 tapered flame tail fur.003
Fra:1 Mem:31.78M (Peak 31.78M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 tapered flame tail fur.002
Fra:1 Mem:32.13M (Peak 32.13M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 tapered flame tail fur.001
Fra:1 Mem:32.24M (Peak 32.24M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 tapered flame tail fur
Fra:1 Mem:32.25M (Peak 32.25M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 connected breast ruff
Fra:1 Mem:32.37M (Peak 32.37M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 continuous chest ruff flow.003
Fra:1 Mem:32.39M (Peak 32.39M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 continuous chest ruff flow.002
Fra:1 Mem:32.42M (Peak 32.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 dorsal swept layer.009
Fra:1 Mem:32.44M (Peak 32.44M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 dorsal swept layer.008
Fra:1 Mem:32.46M (Peak 32.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 dorsal swept layer.007
Fra:1 Mem:32.48M (Peak 32.48M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 dorsal swept layer.006
Fra:1 Mem:32.50M (Peak 32.50M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 dorsal swept layer.005
Fra:1 Mem:32.53M (Peak 32.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 secondary fur blade.015
Fra:1 Mem:32.55M (Peak 32.55M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 flowing cheek and nape primary.015
Fra:1 Mem:32.64M (Peak 32.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 secondary fur blade.014
Fra:1 Mem:32.69M (Peak 32.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 flowing cheek and nape primary.014
Fra:1 Mem:32.97M (Peak 32.97M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 secondary fur blade.013
Fra:1 Mem:32.99M (Peak 32.99M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 connected orbital skull and species muzzle
Fra:1 Mem:33.04M (Peak 33.04M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 flowing cheek and nape primary.013
Fra:1 Mem:33.23M (Peak 33.23M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 secondary fur blade.012
Fra:1 Mem:33.27M (Peak 33.27M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 flowing cheek and nape primary.012
Fra:1 Mem:33.29M (Peak 33.29M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 secondary fur blade.011
Fra:1 Mem:33.31M (Peak 33.31M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 flowing cheek and nape primary.011
Fra:1 Mem:33.33M (Peak 33.33M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 secondary fur blade.010
Fra:1 Mem:33.38M (Peak 33.38M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 flowing cheek and nape primary.010
Fra:1 Mem:33.53M (Peak 33.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 secondary fur blade.009
Fra:1 Mem:33.54M (Peak 33.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 inset almond sclera
Fra:1 Mem:33.55M (Peak 33.55M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 flowing cheek and nape primary.009
Fra:1 Mem:33.59M (Peak 33.59M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 iris
Fra:1 Mem:33.59M (Peak 33.59M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 secondary fur blade.008
